epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.835,0.74076,3.64718,0.97034,0.03047,0.98438,0.16154,0.13923,0.52715,3.50983,0.82241,0.00015827,0.00015827,0.00015827
2,145.162,0.72138,3.05349,0.93329,0.01871,1,0.28492,0.24417,0.63691,3.23553,0.86081,0.000316829,0.000316829,0.000316829
3,204.273,0.77326,2.48533,0.95933,0.01836,1,0.46194,0.40419,0.60156,2.92265,0.85015,0.000467142,0.000467142,0.000467142
4,257.386,0.79203,2.00586,0.97158,0.77674,0.41137,0.67117,0.57823,0.70145,2.53816,0.85317,0.000609208,0.000609208,0.000609208
5,311.147,0.72494,1.63487,0.93761,0.69276,0.64126,0.75184,0.64885,0.59081,1.79876,0.84503,0.000743028,0.000743028,0.000743028
6,360.566,0.7253,1.39376,0.93264,0.70018,0.72567,0.79008,0.68232,0.65196,1.58632,0.85915,0.000729916,0.000729916,0.000729916
7,418.759,0.69921,1.27967,0.92849,0.79472,0.84287,0.87381,0.77459,0.64387,1.17718,0.87972,0.000709299,0.000709299,0.000709299
8,470.15,0.67773,1.13579,0.92002,0.88873,0.91281,0.95303,0.83954,0.55447,0.96979,0.85521,0.000688683,0.000688683,0.000688683
9,524.689,0.67921,1.03668,0.91963,0.9532,0.97701,0.98572,0.86212,0.61298,0.69987,0.862,0.000668066,0.000668066,0.000668066
10,579.623,0.66322,0.98001,0.92225,0.93967,0.95425,0.98198,0.87964,0.57427,0.67839,0.85627,0.000647449,0.000647449,0.000647449
11,630.796,0.64208,0.94735,0.9088,0.97574,0.9879,0.98747,0.87535,0.57759,0.59053,0.86052,0.000626832,0.000626832,0.000626832
12,684.127,0.60758,0.85845,0.91096,0.97552,0.97275,0.98614,0.88943,0.50455,0.55894,0.83054,0.000606216,0.000606216,0.000606216
13,736.729,0.63115,0.86459,0.91078,0.97332,0.98171,0.98302,0.89207,0.51315,0.54234,0.82687,0.000585599,0.000585599,0.000585599
14,786.852,0.61762,0.85347,0.90667,0.96314,0.95311,0.97676,0.88535,0.57396,0.59256,0.86272,0.000564982,0.000564982,0.000564982
15,839.579,0.59637,0.81575,0.89084,0.94687,0.96993,0.98161,0.89709,0.54718,0.58812,0.85836,0.000544365,0.000544365,0.000544365
16,897.329,0.56226,0.77165,0.89331,0.97026,0.97734,0.98265,0.89677,0.52701,0.55914,0.86531,0.000523749,0.000523749,0.000523749
17,947.681,0.58849,0.80461,0.89217,0.96774,0.96676,0.9778,0.89387,0.51597,0.5722,0.85161,0.000503132,0.000503132,0.000503132
18,998.2,0.56403,0.76556,0.89387,0.96776,0.98758,0.98664,0.90288,0.45318,0.53786,0.85146,0.000482515,0.000482515,0.000482515
19,1050.29,0.54749,0.73182,0.89419,0.98404,0.98828,0.98458,0.90623,0.52262,0.50484,0.84935,0.000461898,0.000461898,0.000461898
20,1102.64,0.53901,0.71904,0.89245,0.98053,0.9838,0.97992,0.89919,0.48678,0.49871,0.84345,0.000441282,0.000441282,0.000441282
21,1156.76,0.54478,0.69864,0.88211,0.98062,0.99,0.98105,0.89662,0.47613,0.48237,0.85018,0.000420665,0.000420665,0.000420665
22,1206.8,0.53962,0.67198,0.88544,0.97194,0.988,0.98456,0.90959,0.47273,0.44693,0.83984,0.000400048,0.000400048,0.000400048
23,1260.29,0.53088,0.67172,0.88401,0.97873,0.99,0.98892,0.91614,0.46138,0.42252,0.83698,0.000379431,0.000379431,0.000379431
24,1310.57,0.53917,0.67523,0.87597,0.98544,0.9856,0.98885,0.90837,0.47832,0.4364,0.84603,0.000358815,0.000358815,0.000358815
25,1365.66,0.53895,0.68336,0.88448,0.98197,0.98783,0.98502,0.91539,0.46605,0.43793,0.84529,0.000338198,0.000338198,0.000338198
26,1417.63,0.52493,0.6564,0.88206,0.9833,0.99,0.98681,0.92716,0.44034,0.42759,0.83389,0.000317581,0.000317581,0.000317581
27,1469.32,0.50671,0.6131,0.87016,0.98113,0.99,0.98674,0.90725,0.44166,0.41702,0.83394,0.000296964,0.000296964,0.000296964
28,1521.6,0.50686,0.62489,0.87176,0.96699,0.98739,0.98898,0.91323,0.45791,0.42725,0.84208,0.000276348,0.000276348,0.000276348
29,1571.2,0.5152,0.61349,0.87625,0.95993,0.98456,0.98991,0.91257,0.44454,0.41887,0.8427,0.000255731,0.000255731,0.000255731
30,1626.01,0.49801,0.61271,0.87689,0.97265,0.96699,0.99015,0.91984,0.42875,0.41217,0.83881,0.000235114,0.000235114,0.000235114
31,1698.82,0.39609,0.60438,0.8164,0.98509,0.98765,0.98985,0.92105,0.41466,0.45577,0.83147,0.000214497,0.000214497,0.000214497
32,1754.57,0.38874,0.60266,0.80727,0.96676,0.98761,0.98977,0.9117,0.42564,0.42471,0.83028,0.000193881,0.000193881,0.000193881
33,1808.68,0.39271,0.57142,0.8153,0.91989,0.93236,0.96415,0.8974,0.50393,0.47927,0.84034,0.000173264,0.000173264,0.000173264
34,1863.29,0.39516,0.57558,0.81369,0.98695,0.99,0.98871,0.91879,0.47358,0.42963,0.846,0.000152647,0.000152647,0.000152647
35,1917.16,0.37351,0.53786,0.81625,0.98167,0.99,0.98848,0.92325,0.4705,0.40368,0.84612,0.000132031,0.000132031,0.000132031
36,1968.69,0.37191,0.5326,0.80868,0.98106,0.98864,0.98783,0.92472,0.43924,0.40498,0.83711,0.000111414,0.000111414,0.000111414
37,2021.75,0.36912,0.53786,0.80292,0.97467,0.98911,0.98891,0.92149,0.44275,0.40863,0.83727,9.0797e-05,9.0797e-05,9.0797e-05
38,2072.82,0.35431,0.51357,0.80546,0.96607,0.98731,0.98851,0.92234,0.42762,0.38787,0.83618,7.01802e-05,7.01802e-05,7.01802e-05
39,2123.84,0.35867,0.52421,0.80158,0.98594,0.99,0.98858,0.92423,0.41918,0.38837,0.83544,4.95635e-05,4.95635e-05,4.95635e-05
40,2176.3,0.34985,0.53134,0.80817,0.98779,0.99,0.9885,0.92693,0.4158,0.3855,0.83664,2.89468e-05,2.89468e-05,2.89468e-05
